"sleep","totwrk","educ","male","marr","age","earns74","black","union","case","clerical","construc","gdhlth","inlf","leis1","leis2","leis3","smsa","lhrwage","lothinc","prot","rlxall","selfe","slpnaps","south","spsepay","spwrk75","worknrm","workscnd","exper","yngkid","yrsmarr","hrwage","agesq"
3090,1543,17,1,1,45,42500,0,0,20,0,0,1,1,5447,5447,5372,1,2.698,0,0,3165,0,3090,0,0,0,1543,0,22,0,22,14.85,2025
2760,3473,17,1,0,46,42500,0,0,21,0,0,1,1,3847,3847,3847,1,3.569814,0,0,2760,1,2760,0,0,0,3473,0,23,0,0,35.50999,2116
2880,3276,13,1,1,40,18750,0,0,22,0,0,1,1,3924,3774,3774,1,1.673351,9.076923,0,3030,1,3030,0,8300,1,3276,0,21,0,0,5.329999,1600
3470,2506,12,1,1,53,11750,0,0,23,0,0,1,1,4104,4014,4014,0,1.18479,8.853808,1,3560,0,3560,0,5200,1,2506,0,35,0,31,3.27,2809
2673,2651,13,1,0,29,16250,0,1,24,0,0,1,1,4756,4756,4756,1,1.621367,0,0,2673,0,2673,0,0,0,2651,0,10,0,0,5.060002,841
2820,4580,12,1,1,29,6750,0,0,25,0,0,1,1,2680,2650,2650,1,0.912283,8.853808,0,2850,0,2850,0,8400,1,4580,0,11,0,4,2.490001,841
2873,3588,12,1,1,53,13750,0,1,26,0,0,1,1,3619,3249,3249,0,1.671473,9.528867,1,3243,0,3243,0,12000,1,3588,0,35,0,0,5.319999,2809
1905,3418,13,1,1,28,0,0,0,27,0,0,1,1,4757,4757,4757,1,0.989541,9.371694,0,1905,1,1905,0,0,0,3418,0,9,0,4,2.69,784
2926,2250,12,0,0,35,6750,0,0,28,1,0,1,1,4904,4829,4829,1,0.989541,7.313887,1,3001,0,3001,0,0,0,2250,0,17,0,0,2.69,1225
2603,2638,12,1,1,36,0,0,0,29,0,0,1,1,4839,4839,4824,0,1.085189,9.159152,0,2618,0,2603,0,400,1,2638,0,18,1,6,2.959999,1296
3238,3173,12,1,1,59,9500,0,0,30,0,0,0,1,3669,3615,3615,0,1.241269,6.908755,1,3292,1,3292,0,0,0,3173,0,41,0,0,3.460001,3481
3888,3446,12,1,1,26,4500,0,0,31,0,0,1,1,2746,2701,2701,1,1.241269,8.229777,1,3933,0,3933,0,4000,1,3446,0,8,0,2,3.460001,676
2716,3588,16,1,1,24,0,0,0,32,0,1,1,1,3776,3776,3563,0,1.442202,10.65728,0,2929,1,2716,0,1300,1,3588,0,2,0,1,4.23,576
3245,2961,16,1,0,28,13750,1,0,33,0,0,1,1,3874,3844,3819,0,1.570697,8.922792,1,3300,0,3275,0,0,0,2961,0,6,0,0,4.809999,784
3158,2778,16,1,1,39,42500,0,0,34,0,0,1,1,4144,4144,4144,0,3.203965,0,1,3158,0,3158,0,4000,1,2778,0,17,0,0,24.62999,1521
3105,3080,17,1,1,33,42500,0,0,35,0,0,1,1,3895,3835,3745,1,2.957511,0,1,3255,1,3165,0,15000,1,3080,0,10,0,5,19.25,1089
3515,3556,17,1,0,28,16250,0,1,36,0,0,1,1,3009,2859,2859,1,1.348073,0,1,3665,0,3665,0,0,0,2493,1063,5,0,0,3.849999,784
3330,2788,12,1,1,33,18750,0,0,37,0,0,1,1,3962,3962,3962,0,2.04122,0,0,3330,0,3330,0,0,0,2788,0,15,0,11,7.699997,1089
4153,1100,12,1,1,47,3500,0,1,38,0,0,1,1,4827,3852,3852,1,1.684545,9.784197,1,5128,0,5128,0,1500,1,1100,0,29,0,22,5.389998,2209
2955,3116,16,1,1,31,0,0,0,39,0,0,1,1,4009,4009,4009,0,1.530395,9.964159,0,2955,0,2955,0,0,0,3116,0,9,1,7,4.620001,961
2200,2506,12,1,0,26,16250,0,0,40,1,0,0,1,5374,4736,4736,1,1.348073,0,1,2838,0,2838,0,0,0,2506,0,8,0,0,3.849999,676
2885,2763,15,1,1,31,32500,0,0,41,0,0,1,1,4432,4244,4244,1,1.684545,0,1,3073,0,3073,0,0,0,2763,0,10,0,13,5.389998,961
3345,3048,16,1,1,38,0,0,0,42,0,0,1,1,3687,3537,3426,0,2.04122,10.07538,1,3606,0,3495,0,4600,1,3048,0,16,0,15,7.699997,1444
2765,2511,17,0,0,44,6750,0,0,43,0,0,1,1,4804,4591,4591,0,0.770108,7.313887,0,2978,1,2978,0,0,0,2511,0,21,0,0,2.159999,1936
3928,3268,12,1,1,49,0,0,0,44,0,0,0,1,2884,2859,2671,0,1.805005,10.07538,1,4141,1,3953,1,0,0,3268,0,31,0,30,6.080001,2401
2833,3242,11,1,1,56,13750,0,1,45,0,0,1,1,4005,3432,3432,0,1.752672,8.922792,1,3406,0,3406,0,12000,1,3242,0,39,0,35,5.77,3136
3750,2550,12,1,1,41,1000,0,0,46,0,1,1,1,3780,3780,3780,0,1.752672,8.888895,1,3750,0,3750,0,0,0,2550,0,23,0,19,5.77,1681
3328,3188,12,1,1,36,16250,0,1,47,0,0,1,1,3564,3564,3564,0,1.752672,8.922792,1,3328,0,3328,1,6000,1,2363,825,18,0,15,5.77,1296
3795,1555,9,1,1,36,18750,0,1,48,0,0,1,1,4730,4677,4622,0,2.004179,8.517393,1,3903,0,3848,1,0,0,1555,0,21,0,18,7.42,1296
3363,2743,12,1,1,37,0,0,0,49,0,0,1,1,3974,3824,3824,0,1.465567,9.528867,1,3513,0,3513,1,0,0,2743,0,19,0,17,4.329998,1369
2280,5043,9,1,1,23,2500,0,0,50,0,0,0,1,2757,2757,2757,0,1.512927,0,1,2280,0,2280,0,900,1,5043,0,8,0,0,4.54,529
4151,3570,10,1,1,29,6750,0,0,51,0,0,1,1,2359,2334,2221,0,1.193922,8.229777,0,4289,0,4176,0,0,0,3570,0,13,0,5,3.299999,841
3266,2883,17,1,0,29,6750,0,0,52,0,0,1,1,3931,3931,3931,1,1.556037,0,0,3266,0,3266,0,0,0,2883,0,6,0,0,4.739999,841
3570,2398,16,1,1,26,6750,0,1,53,0,0,1,1,4112,4112,4112,0,1.22083,8.517393,1,3570,0,3570,0,8066,1,2398,0,4,0,2,3.39,676
2885,2663,16,1,1,29,0,0,0,54,0,0,1,1,4532,4532,4517,1,1.9947,10.22198,1,2900,0,2885,0,0,0,2663,0,7,1,10,7.349998,841
2879,2363,17,1,0,25,11750,0,0,55,0,0,1,1,4838,4838,4838,1,1.147403,7.601402,0,2879,0,2879,0,0,0,2363,0,2,0,0,3.150002,625
2790,1800,14,0,0,24,1000,0,1,56,0,0,1,1,5490,5490,5490,0,0.04879,0,0,2790,1,2790,0,0,0,1800,0,4,0,0,1.05,576
2799,2700,16,1,1,23,11750,0,0,57,0,0,1,1,4581,4581,4581,0,2.128232,9.159152,1,2799,0,2799,1,15000,1,2700,0,1,0,0,8.400002,529
3173,3031,12,1,1,28,16250,0,0,58,0,0,1,1,3876,3838,3838,0,1.697449,8.922792,1,3211,0,3211,1,12000,1,3031,0,10,0,5,5.460001,784
3308,2438,17,1,1,29,13750,0,0,59,0,0,1,1,4334,4334,4334,0,1.697449,0,1,3308,0,3308,0,0,0,2438,0,6,1,7,5.460001,841
3305,2620,12,1,1,39,42500,0,0,60,0,0,1,1,4155,4155,4155,0,2.128232,0,1,3305,1,3305,0,18000,1,2620,0,21,0,19,8.400002,1521
2975,2698,12,0,0,31,9500,0,0,61,0,0,1,1,4407,3736,3733,1,1.029619,0,0,3649,0,3646,0,0,0,2698,0,13,0,0,2.799999,961
3316,2970,8,1,1,50,2500,0,0,62,0,0,1,1,3794,3644,3577,0,1.453953,9.528867,1,3533,0,3466,0,1575,1,2970,0,36,0,28,4.28,2500
3226,2430,10,1,1,36,8250,0,0,63,0,0,1,1,4424,4424,4379,0,1.115142,8.612685,1,3271,0,3226,0,7500,1,2430,0,20,0,15,3.050001,1296
3635,2250,12,0,1,28,1000,0,0,64,0,0,1,1,4195,4195,4195,0,0.891998,8.888895,1,3635,0,3635,1,0,0,2250,0,10,0,5,2.44,784
3233,2888,11,1,1,50,2500,0,0,65,0,0,1,1,3959,3509,3509,0,1.644805,9.528867,1,3683,0,3683,1,2200,1,2888,0,33,0,26,5.179999,2500
3348,1345,12,1,1,50,0,0,0,66,0,0,1,1,5387,5387,5237,0,2.078191,10.22198,1,3498,0,3348,0,0,0,1345,0,32,0,28,7.990002,2500
2630,2925,13,0,0,50,13750,0,0,67,0,0,1,1,4525,4525,4525,1,1.791759,8.922792,1,2630,1,2630,1,0,0,2925,0,31,0,0,5.999997,2500
2858,3976,12,0,0,55,8250,0,0,68,1,0,1,1,3246,3246,3186,1,1.172482,0,0,2918,0,2858,0,0,0,3976,0,37,0,0,3.23,3025
3203,2205,16,0,1,34,8250,0,0,69,0,0,1,1,4672,4604,4604,1,1.172482,9.472781,1,3271,0,3271,0,13500,1,2205,0,12,0,12,3.23,1156
3451,1208,12,1,0,44,16250,0,1,70,0,1,1,1,5421,5321,5321,0,1.791759,0,1,3551,0,3551,0,0,0,1208,0,26,0,0,5.999997,1936
3008,2905,16,1,1,30,13750,0,1,71,0,0,1,1,4167,4167,4167,1,1.752672,0,1,3008,0,3008,0,0,0,2275,630,8,1,4,5.77,900
2821,3825,9,1,1,23,6750,0,0,72,0,0,1,1,3434,3404,3366,0,1.018847,0,1,2889,0,2851,1,0,0,3825,0,8,0,2,2.769999,529
3525,2348,16,1,1,32,13750,0,0,73,0,0,1,1,4207,4052,4014,1,1.711995,0,1,3718,0,3680,0,600,1,2348,0,10,1,7,5.540003,1024
3150,1825,15,1,1,40,0,0,0,74,0,0,1,1,5105,5045,5045,0,2.11746,10.07538,1,3210,0,3210,1,0,0,1825,0,19,0,18,8.310003,1600
3113,2563,10,0,1,34,8250,0,0,75,0,0,1,1,4404,4404,4404,0,1.018847,8.612685,1,3113,0,3113,0,8500,1,2563,0,18,0,15,2.769999,1156
2816,2576,16,0,1,23,11750,0,0,76,0,0,1,1,4688,4688,4688,0,1.711995,9.159152,1,2816,0,2816,1,12000,1,2576,0,1,0,0,5.540003,529
3105,2275,12,1,1,24,0,0,0,77,0,0,1,1,4700,4700,4700,0,1.711995,9.69591,1,3105,0,3105,0,0,0,2275,0,6,1,4,5.540003,576
3605,3595,12,1,1,39,4500,0,0,78,0,0,1,1,2880,2880,2850,0,1.711995,0,1,3635,1,3605,1,0,0,3595,0,21,0,18,5.540003,1521
3611,2575,17,1,0,39,18750,0,0,79,0,0,1,1,3894,3894,3894,0,2.060514,7.824446,1,3611,0,3611,1,0,0,2575,0,16,0,0,7.850003,1521
3128,2843,16,1,1,33,27500,0,0,80,0,0,1,1,4109,4109,4109,1,2.060514,0,0,3128,0,3128,1,0,0,2843,0,11,0,11,7.850003,1089
3213,2188,12,1,1,31,18750,0,1,81,0,0,1,1,4679,4679,4616,1,2.060514,9.528867,0,3276,0,3213,1,17000,1,2188,0,13,0,8,7.850003,961
3860,0,14,1,1,37,16250,0,0,82,0,0,1,1,6220,3970,3970,0,0.932164,0,0,6110,0,6110,0,6000,1,0,0,17,0,17,2.54,1369
4275,2248,6,0,1,60,2500,0,0,83,0,0,0,1,3557,3444,3209,0,0.239017,7.601402,1,4623,0,4388,1,0,0,2248,0,48,0,0,1.27,3600
3076,2876,12,1,1,43,16250,0,0,84,0,0,1,1,4128,3503,3503,1,2.030776,7.824446,1,3701,0,3701,0,3000,1,2876,0,25,0,23,7.619998,1849
4313,2758,16,1,1,34,18750,0,0,85,0,0,1,1,3009,3009,3009,0,2.000128,0,1,4313,0,4313,0,0,0,2758,0,12,1,9,7.390002,1156
2885,2578,16,1,1,37,8250,0,0,86,1,0,1,1,4617,4617,4572,1,1.530395,9.472781,1,2930,0,2885,0,8600,1,2578,0,15,0,12,4.620001,1369
3165,2163,17,1,0,50,32500,0,0,87,0,0,1,1,4752,4752,4744,0,2.783158,9.210441,1,3173,0,3165,1,0,0,2163,0,27,0,0,16.17001,2500
3105,4075,12,1,1,32,42500,0,0,88,0,0,1,1,2900,2450,2331,0,0.837247,0,1,3674,0,3555,0,48000,1,3175,900,14,0,12,2.309999,1024
3063,2388,12,1,1,47,0,0,0,89,0,0,1,1,4629,4589,4559,1,1.93586,10.22198,1,3133,0,3103,0,0,0,2388,0,29,0,27,6.930002,2209
3368,2048,17,1,1,35,18750,0,0,90,0,0,1,1,4664,4664,4589,0,1.93586,9.528867,1,3443,0,3368,1,13000,1,1643,405,12,1,8,6.930002,1225
3415,2935,16,1,1,62,16250,0,0,91,0,0,1,1,3730,3730,3700,1,1.530395,7.824446,1,3445,0,3415,0,2500,1,2935,0,40,0,39,4.620001,3844
3508,2400,16,1,1,38,0,0,0,92,0,0,1,1,4172,4172,4147,0,2.446686,10.38903,1,3533,0,3508,0,0,0,2400,0,16,1,6,11.55001,1444
2788,2325,16,1,0,51,21250,0,0,93,0,0,1,1,4967,4847,4822,1,2.119864,0,1,2933,0,2908,0,0,0,2325,0,29,0,0,8.330005,2601
3180,2108,12,1,0,32,13750,0,0,94,0,0,1,1,4792,4587,4567,0,1.607436,0,0,3405,0,3385,0,0,0,2108,0,14,0,0,4.99,1024
3123,2483,12,1,1,49,13750,0,0,95,0,0,1,1,4474,4474,4474,0,1.583094,9.210441,1,3123,0,3123,0,350,1,2483,0,31,0,24,4.87,2401
3388,1913,17,1,1,36,10500,0,1,96,0,0,1,1,4779,4554,4494,0,1.867176,0,1,3673,0,3613,0,0,0,1913,0,13,0,14,6.47,1296
3610,1738,17,1,1,41,23750,0,0,97,0,0,1,1,4732,4732,4717,1,1.867176,8.229777,1,3625,1,3610,0,0,0,1738,0,18,0,17,6.47,1681
3351,3671,12,1,1,34,0,0,0,98,0,0,1,1,3058,2953,2953,0,0.732368,9.259226,0,3456,0,3456,1,0,0,3671,0,16,1,5,2.08,1156
2653,3225,12,1,1,36,13750,0,0,99,0,0,1,1,4202,3767,3767,0,1.425515,0,1,3088,0,3088,0,0,0,3225,0,18,0,11,4.16,1296
3413,4058,16,1,1,31,10500,0,0,100,0,0,1,1,2609,2489,2489,0,1.425515,8.086718,1,3533,0,3533,0,600,1,4058,0,9,1,9,4.16,961
3218,2713,12,1,1,38,10500,0,0,101,0,0,1,1,4149,4089,4089,0,1.66203,9.282754,1,3278,0,3278,0,11000,1,2713,0,20,0,16,5.269998,1444
3045,2982,12,1,1,32,10500,0,0,102,0,0,1,1,4053,4053,4033,0,1.308333,0,0,3065,0,3045,0,0,0,2982,0,14,1,10,3.700001,1024
3433,3025,12,1,1,35,4500,0,0,103,0,0,1,1,3622,3247,3247,1,1.308333,9.371694,1,3808,0,3808,0,4500,1,3025,0,17,0,13,3.700001,1225
3730,2213,16,0,1,23,6750,0,1,104,0,0,1,1,4137,3979,3979,0,0.978326,8.517393,1,3888,0,3888,0,9700,1,2213,0,1,0,2,2.66,529
2970,2125,15,1,1,27,9500,0,0,105,0,0,1,1,4985,4985,4897,0,0.329304,0,1,3058,1,2970,1,0,0,2125,0,6,1,6,1.39,729
3475,2313,12,0,1,47,2500,0,0,106,1,0,1,1,4292,4292,4259,1,-0.040822,9.964159,1,3508,0,3475,0,20000,1,2313,0,29,0,0,0.96,2209
3430,3140,11,1,1,39,0,0,0,107,0,0,1,1,3510,3510,3510,0,0.652325,9.69591,1,3430,1,3430,0,0,0,3140,0,22,0,22,1.92,1521
2910,625,14,0,1,34,13750,0,0,108,1,0,1,1,6545,6515,6432,0,0.364643,0,1,3023,0,2940,0,15000,1,625,0,14,1,17,1.44,1156
3570,2350,7,1,1,52,6750,0,0,109,0,0,1,1,4160,4153,4153,0,0.955511,0,1,3577,0,3577,1,0,0,2350,0,39,0,0,2.599999,2704
3060,2745,12,1,1,45,16250,0,1,110,0,0,1,1,4275,3990,3990,1,1.832582,0,0,3345,0,3345,0,0,0,2745,0,27,0,23,6.250003,2025
3495,2038,17,1,1,61,13750,0,1,111,0,0,1,1,4547,4382,4322,0,1.752672,8.517393,1,3720,0,3660,0,1200,1,2038,0,38,0,0,5.77,3721
2970,2880,12,0,0,44,16250,0,1,112,0,0,0,1,4230,4230,4230,1,1.752672,0,0,2970,0,2970,0,0,0,2880,0,26,0,0,5.77,1936
3008,3331,8,1,1,51,2500,0,0,113,0,0,0,1,3741,3326,3326,1,1.752672,9.328213,0,3423,0,3423,0,2500,1,3331,0,37,0,27,5.77,2601
3428,1175,15,0,1,49,13750,0,1,114,0,0,1,1,5477,5477,5342,1,1.570697,10.26643,1,3563,0,3428,0,0,0,1175,0,28,0,26,4.809999,2401
3288,1605,10,1,1,64,13750,0,0,115,0,0,1,1,5187,5187,5187,1,1.570697,9.528867,1,3288,0,3288,0,2000,1,1125,480,48,0,42,4.809999,4096
2400,3146,12,1,1,30,18750,0,0,116,0,0,1,1,4534,4534,4534,0,2.263844,7.824446,1,2400,0,2400,0,0,0,3146,0,12,1,9,9.619998,900
3070,3135,12,1,1,36,0,0,0,117,0,0,1,1,3875,3845,3772,0,2.263844,10.07538,1,3173,0,3100,0,0,0,3135,0,18,0,6,9.619998,1296
2250,4065,15,0,1,26,13750,0,0,118,0,0,1,1,3765,3765,3765,0,1.465567,8.922792,1,2250,0,2250,0,11500,1,4065,0,5,1,5,4.329998,676
3323,2968,8,1,1,44,5500,0,1,119,0,0,0,1,3789,3484,3446,0,2.158715,9.491828,1,3666,0,3628,0,6000,1,2968,0,30,0,24,8.660003,1936
3023,2791,12,1,0,28,10500,0,0,120,0,0,1,1,4266,4266,4266,0,1.408545,8.657129,1,3023,0,3023,0,0,0,2791,0,10,0,0,4.09,784
3505,2398,13,1,1,59,18750,0,0,121,0,0,1,1,4177,4177,3764,0,3.480624,7.824446,0,3918,1,3505,0,8250,1,2398,0,40,0,37,32.47998,3481
3503,1588,12,1,1,35,13750,0,1,122,0,0,1,1,4989,4989,4959,0,1.686399,0,0,3533,0,3503,0,0,0,1588,0,17,0,14,5.4,1225
3370,2611,12,1,1,56,8250,0,0,123,1,0,1,1,4099,4099,3949,0,1.283708,8.160804,1,3520,0,3370,1,0,0,2373,238,38,0,33,3.610001,3136
3120,2948,12,1,1,38,16250,0,0,124,0,0,1,1,4012,4012,3712,1,1.976855,0,1,3420,0,3120,0,0,0,2948,0,20,0,19,7.220001,1444
3308,3038,17,1,1,28,13750,0,0,125,0,0,1,1,3734,3734,3734,1,1.976855,9.528867,1,3308,1,3308,0,14000,1,3038,0,5,0,2,7.220001,784
3398,1655,14,0,1,50,0,0,0,126,0,0,1,1,5027,5004,5004,0,1.214913,9.159152,1,3421,0,3421,0,0,0,1655,0,30,0,20,3.370001,2500
3333,2560,8,1,1,46,18750,0,1,127,0,0,1,1,4187,4127,4089,0,1.90806,0,1,3431,0,3393,0,0,0,2560,0,32,0,25,6.74,2116
2728,1175,16,0,0,28,6750,0,1,128,0,0,1,1,6177,5982,5982,0,1.264127,7.313887,1,2923,0,2923,1,0,0,1175,0,6,0,0,3.540001,784
3256,1350,12,1,1,28,3500,0,0,129,0,0,0,1,5474,5474,5474,0,1.061257,7.601402,0,3256,0,3256,0,0,0,1350,0,10,1,6,2.890002,784
3250,3598,12,0,1,36,0,0,0,130,0,0,1,1,3232,2937,2937,0,0.506818,9.528867,0,3545,0,3545,0,14000,1,3598,0,18,0,0,1.660001,1296
2915,2638,16,1,1,47,27500,0,0,131,0,0,1,1,4527,4527,4527,1,2.334084,0,0,2915,0,2915,0,0,0,2638,0,25,0,19,10.32,2209
4170,3230,14,1,1,40,13750,0,0,132,0,1,1,1,2680,2560,2558,1,1.235471,7.824446,0,4292,0,4290,1,0,0,3230,0,20,0,10,3.439998,1600
3030,3311,14,1,1,42,0,0,0,133,0,0,1,1,3739,3739,3739,1,2.547881,10.65728,1,3030,0,3030,0,0,0,3311,0,22,0,20,12.77999,1764
3668,2218,16,0,0,41,8250,1,1,134,0,0,1,1,4194,4194,4194,0,1.541159,0,1,3668,0,3668,1,0,0,2218,0,19,0,0,4.67,1681
2303,3699,17,1,1,44,6750,1,0,135,0,0,1,1,4078,4078,4078,1,1.774952,10.48433,0,2303,0,2303,0,5500,1,3699,0,21,0,14,5.899998,1936
3618,3569,16,0,1,53,18750,0,0,136,1,0,1,1,2893,2823,2823,1,0.900161,7.824446,1,3688,0,3688,0,17600,1,3569,0,31,0,32,2.459999,2809
3316,1775,11,1,1,39,16250,0,1,137,0,0,1,1,4989,4839,4839,0,1.391282,7.824446,1,3466,0,3466,0,4500,1,1775,0,22,0,20,4.02,1521
3601,283,12,0,1,26,1000,0,0,138,0,0,1,1,6196,6121,5808,0,-0.673345,9.453365,0,3989,1,3676,0,12500,1,283,0,8,0,6,0.5099998,676
2413,400,12,0,1,25,0,1,0,139,0,0,0,1,7267,7267,7177,0,0.058269,9.371694,0,2503,1,2413,0,11000,1,400,0,7,0,0,1.06,625
2771,3533,6,1,1,32,6750,1,1,140,0,0,1,1,3776,3776,3746,0,0.71784,0,1,2801,0,2771,1,800,1,3533,0,20,1,10,2.05,1024
3383,2638,12,1,1,32,10500,0,0,141,1,0,1,1,4059,3694,3694,0,1.036737,8.657129,1,3748,0,3748,1,5700,1,2638,0,14,0,0,2.82,1024
3808,1175,17,0,1,24,4500,0,0,142,1,0,0,1,5097,5097,5097,0,1.036737,6.908755,0,3808,0,3808,0,0,0,1175,0,1,0,3,2.82,576
3363,2426,12,1,1,56,8250,0,0,143,0,0,1,1,4291,4291,4291,0,1.278152,8.160804,1,3363,1,3363,0,5000,1,2426,0,38,0,28,3.589999,3136
3675,2113,10,1,1,34,3500,0,0,144,0,0,1,1,4292,4292,4292,1,1.278152,9.23513,1,3675,0,3675,0,4000,1,2113,0,18,0,17,3.589999,1156
3120,2477,13,1,1,23,11750,0,0,145,0,0,1,1,4483,4408,4333,0,1.472472,7.601402,1,3270,0,3195,0,3500,1,2477,0,4,1,0,4.36,529
3536,2375,12,0,1,29,18750,0,1,146,1,0,1,1,4169,4169,4144,1,2.165619,9.528867,0,3561,0,3536,1,17000,1,2375,0,11,0,8,8.719997,841
3253,2813,12,1,1,27,0,0,0,147,0,0,1,1,4014,4014,4014,0,1.635106,9.839003,1,3253,0,3253,0,0,0,2813,0,9,0,8,5.130002,729
2885,2625,10,1,0,58,13750,0,0,148,1,0,1,1,4570,4510,4510,1,1.635106,0,0,2945,0,2945,0,0,0,2625,0,42,0,0,5.130002,3364
2560,3018,12,1,1,56,21250,0,0,149,0,0,1,1,4502,4502,4464,0,1.635106,9.964159,1,2598,0,2560,0,11000,1,2800,218,38,0,33,5.130002,3136
2985,4335,14,1,1,37,18750,0,1,150,0,0,1,1,2760,2738,2738,1,1.89762,0,1,3007,0,3007,0,0,0,4335,0,17,0,0,6.670001,1369
3095,3105,12,0,1,51,13750,0,0,151,0,0,0,1,3880,3880,3880,1,1.89762,9.528867,0,3095,0,3095,0,14000,1,3105,0,33,0,0,6.670001,2601
2985,3194,12,1,1,50,13750,0,0,152,0,0,1,1,3901,3901,3901,0,1.83418,8.922792,0,2985,0,2985,0,0,0,3194,0,32,0,28,6.259999,2500
2243,2713,16,1,1,39,23750,0,0,153,0,0,1,1,5124,5124,5124,0,2.105353,8.229777,1,2243,0,2243,0,2700,1,2713,0,17,0,18,8.210002,1521
2838,2338,12,1,1,48,0,0,0,154,0,0,1,1,4904,4359,4359,0,2.105353,9.839003,1,3383,0,3383,0,0,0,2338,0,30,0,20,8.210002,2304
3375,938,16,1,1,50,27500,0,0,155,0,0,1,1,5767,5767,5677,1,2.423917,8.517393,1,3465,0,3375,0,6000,1,938,0,28,0,29,11.29,2500
3355,3151,16,1,1,26,13750,0,1,156,0,0,1,1,3574,3574,3536,1,2.04122,8.922792,0,3393,0,3355,0,0,0,2613,538,4,1,1,7.699997,676
3743,0,11,1,1,51,16250,0,1,157,0,0,1,1,6337,6215,6175,1,1.818077,0,0,3905,0,3865,0,1000,1,0,0,34,0,29,6.160001,2601
2701,3695,16,1,1,39,18750,0,0,158,0,0,1,1,3684,3644,3644,1,2.04122,8.517393,0,2741,0,2741,0,3600,1,3320,375,17,0,15,7.699997,1521
2943,2575,14,0,1,54,8250,0,0,159,0,0,1,1,4562,4502,4489,1,1.12493,9.865318,1,3016,0,3003,0,9500,1,2575,0,34,0,27,3.080001,2916
3463,2380,12,1,1,28,4500,0,0,160,0,0,1,1,4237,4237,4237,1,1.348073,9.132487,0,3463,0,3463,0,0,0,2380,0,10,0,1,3.849999,784
2723,2781,12,1,0,37,10500,0,0,161,1,0,1,1,4576,4456,4456,0,1.530395,0,1,2843,0,2843,1,0,0,2781,0,19,0,0,4.620001,1369
